Category,APP Record Type,APP Record Type Developer Name,APP Object,TRPG Target Object,TRPG Record Type / Type,TRPG Developer Name,Related APP Flows,APP Validation Rules (count),Flow Migration Priority,Field Mapping Complexity,Migration Phase,Key Custom Fields to Map,APP Flow Behaviors to Replicate,TRPG Existing Behaviors,Process Differences,Notes
RPS - Hardship Withdrawal,APP RPS Hardship Withdrawal Request,APP_RPS_Hardship_Withdrawal_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions; Case_APP_Set_Status_Start_and_End_Dates",2 shared VRs,High,High,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c; Participant_Name; Gross_Amount; Federal/State %; NIGO/Verification date fields","Same as Distribution; plus: Compliance Review - Hardship status required","See RPS - Distribution","Same as Distribution + Compliance Review - Hardship status has no TRPG equivalent. Must add to Help Desk status picklist.","Compliance Review - Hardship status is distinct APP status with specific routing implications."
RPS - Loan,APP RPS Loan Request,APP_RPS_Loan_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions; Case_APP_Set_Status_Start_and_End_Dates",2 shared VRs,High,High,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c; Participant_Name; Gross_Amount; NIGO/Verification date fields","Same as Force Out; plus: Compliance Review - Loan status required","See RPS - Distribution","Same as Force Out + Compliance Review - Loan status. Must add to Help Desk status picklist.",
RPS - Death Notification,APP RPS Participant Death Notification,APP_RPS_Participant_Death_Notification_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions",2 shared VRs,High,Medium,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c; Participant_Name","Standard RPS flows only (no status date tracking)","See RPS - Adoption/Amendment","Simpler RPS type. No status-phase tracking.",
RPS - Plan Discontinuances,APP RPS Plan Discontinuances Request,APP_RPS_Plan_Discontinuances_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions",2 shared VRs,High,Medium,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c; Date_Submitted","Standard RPS flows only","See RPS - Adoption/Amendment","Simpler RPS type. No participant or status-phase tracking.",
RPS - Plan Termination,APP RPS Plan Termination Request,APP_RPS_Plan_Termination_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions",2 shared VRs,High,Medium,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c; Date_Submitted","Standard RPS flows only","See RPS - Adoption/Amendment","Simpler RPS type. Similar to Discontinuances.",
RPS - QDRO Notification,APP RPS QDRO Notification Request,APP_RPS_QDRO_Notification_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions",2 shared VRs,High,Medium,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c; Participant_Name","Standard RPS flows only","See RPS - Adoption/Amendment","Simpler RPS type.",
RPS - Stale/Voided Checks,APP RPS Stale Dated Voided Checks,APP_RPS_Stale_Dated_Voided_Checks_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions",2 shared VRs,High,Low,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c; Check_Number; Check_Date","Standard RPS flows only","See RPS - Adoption/Amendment","Simpler RPS type. Shares Check fields with Distribution.",
RPS - Stop/Re-Issue Check,APP RPS Stop and Re-Issue Check,APP_RPS_Stop_and_Re_Issue_Check_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions",2 shared VRs,High,Low,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c; Check_Number; Check_Date","Standard RPS flows only","See RPS - Adoption/Amendment","Simpler RPS type. Shares Check fields with Distribution.",
Firm Initiatives,Firm Initiatives,Firm_Initiatives,Case,TRPG_Help_Desk__c,Work Item,Other,Case_Firm_Initiative_Pop_Parent_Firm,0 specific VRs,Medium,Low,Phase 2 (Mar-Apr 2026),"Division__c >> Department__c (lookup); Topic__c; Parent_Firm__c","After-save flow auto-populates Parent_Firm__c from Account hierarchy","TRPG has Department__c lookup to trpg_Department__c. No Parent Firm or Topic equivalent.","1) DEPARTMENT: APP Division is picklist; TRPG Department is lookup. Must create Department records. 2) PARENT FIRM: APP auto-populates via flow; TRPG has no equivalent. 3) TOPIC: No TRPG equivalent.","Lowest complexity Case type. Standard fields mostly."
New Account,-- (Screen Flow / FA Trigger),--,Case,New_Account_Setup__c,Account_Setup_Type__c = New,--,"APP_Create_New_Case_From_Financial_Account (on FA object); New_Account_Set_up_2_3 (TRPG)",0 specific VRs,Medium,Medium,Phase 2 (Mar-Apr 2026),"AccountId >> Account__c; FinServ__FinancialAccount__c >> Financial_Account_Name__c; OwnerId >> Setup_Assigned_To__c; Status >> New_Account_Setup_Status__c; Description >> Setup_Notes__c","APP creates Case from FA via after-save flow","NAS auto-created by New_Account_Set_up_2_3 flow on FA creation; Assign NASU to Advisor (27 elements) routes to advisor; 6 VRs enforce completeness before trading","DIFFERENT ORIGIN: APP creates a Case from FA. TRPG creates NAS from FA. Similar trigger but different target object. TRPG NAS has extensive advisor assignment / billing validation / agreement checking that APP Cases lack.","NAS Account_Setup_Type__c value New exists. NAS has 109 fields vs Case mapping of 5-6 fields. NAS is far richer for account setup workflows."
Account Changes,-- (Screen Flow),--,Case,New_Account_Setup__c,Account_Setup_Type__c = Change,--,Update Change Account Setup (TRPG before-save),0 specific VRs,Medium,Medium,Phase 2 (Mar-Apr 2026),"AccountId >> Account__c; FinServ__FinancialAccount__c >> Financial_Account_Name__c; OwnerId >> Setup_Assigned_To__c; Description >> Change_Notes__c","APP uses screen flow to create Case","TRPG has Update Change Account Setup (before-save) + changeAccountSetup LWC + householdChangeSetup LWC for change workflows","TRPG has dedicated LWC components (changeAccountSetup / householdChangeSetup) and before-save flow for change-type NAS. Richer UI than APP screen flow.","NAS Change_Notes__c exists. Account_Setup_Type__c = Change exists."
Cash Reserve Update,-- (Screen Flow),--,Case,New_Account_Setup__c,Account_Setup_Type__c = Reserve Change,--,,0 specific VRs,Medium,Low,Phase 2 (Mar-Apr 2026),"AccountId >> Account__c; FinServ__FinancialAccount__c >> Financial_Account_Name__c; Status >> New_Account_Setup_Status__c","APP uses screen flow to create Case","NAS has Cash_Reserve__c related object created by New_Account_Set_up_2_3 flow alongside NAS record","TRPG creates a separate Cash_Reserve__c record alongside NAS. APP has no cash reserve child object.","CONFIRMED: NAS value is Reserve Change (not Cash Reserve). Cash_Reserve__c is a separate TRPG object related to NAS."
Raise Cash (Urgent),-- (Screen Flow),--,Case,Raise_Cash_Request__c,--,--,,0 specific VRs,High,Medium,Phase 2 (Mar-Apr 2026),"AccountId >> Account__c; FinServ__FinancialAccount__c >> Financial_Account__c; Gross_Amount >> Amount__c; Priority >> Urgency__c; Description >> Reason__c","APP uses screen flow to create Case","Raise_Cash_Request__c is a dedicated TRPG object for urgent cash needs. Separate from NAS Cash Reserve.","Separate object in TRPG. Higher urgency than NAS Reserve Change. Straightforward field mapping.",
Tax Return,--,--,Case,Case,Tax_Return,Tax_Return,,0 specific VRs,Low,Low,Phase 3 (May 2026),Standard Case fields remain; RecordType changes to Tax_Return,None,TRPG Help Desk has Tax_Return__c lookup to Case for linking Help Desk tickets to Tax Return Cases.,TRPG_Help_Desk__c has Tax_Return__c (Case lookup) for cross-referencing. Tax Return Cases stay on Case object.,Stays on Case object -- RT swap only. No Apex or flow considerations.
